"pregunta","respuesta"
"¿Cuál es la capital de España?","Madrid"
"¿Cuántos días tiene una semana?","7"
"¿Qué planeta es conocido como el 'Planeta Rojo'?","Marte"
"¿Cuánto es 2 + 2?","4"
"¿Quién escribió 'Don Quijote de la Mancha'?","Miguel de Cervantes"
"¿Cuál es el estado gaseoso del agua?","Vapor"
"¿Cuántas letras tiene el alfabeto español?","27"
"¿De qué color se obtiene al mezclar amarillo y azul?","Verde"
"¿Qué animales construyen presas?","Castores"
"¿Cuánto es 10 - 5?","5"
"¿En qué continente está Egipto?","África"
"¿Qué animal es el rey de la selva?","León"
"¿Qué órgano bombea la sangre en el cuerpo humano?","Corazón"
"¿Cuál es el órgano que usamos para respirar?","Pulmones"
"¿Cuál es el número mínimo de jugadores en un equipo de fútbol?","11"